Year,Deaths,Vehicle miles travelled (billions),Fatalities per 100 million VMT,Population,Fatalities per 100000 population
1959,"36,223",700.48,5.17,"177,829,628",20.369
1960,"36,399",718.76,5.06,"180,671,158",20.147
1961,"36,285",737.42,4.92,"183,691,481",19.753
1962,"38,980",766.73,5.08,"186,537,737",20.897
1963,"41,723",805.25,5.18,"189,241,798",22.047
1964,"45,645",846.3,5.39,"191,888,791",23.787
1965,"47,089",887.81,5.3,"194,302,963",24.235
1966,"50,894",925.9,5.5,"196,560,338",25.892
1967,"50,724",964.01,5.26,"198,712,056",25.526
1968,"52,725","1,015.87",5.19,"200,706,052",26.27
1969,"53,543","1,061.79",5.04,"202,676,946",26.418
1970,"52,627","1,109.72",4.74,"205,052,174",25.665
1971,"52,542","1,178.81",4.46,"207,660,677",25.302
1972,"54,589","1,259.79",4.33,"209,896,021",26.008
1973,"54,052","1,313.11",4.12,"211,908,788",25.507
1974,"45,196","1,280.54",3.53,"213,853,928",21.134
1975,"44,525","1,327.66",3.35,"215,973,199",20.616
1976,"45,523","1,402.38",3.25,"218,035,164",20.879
1977,"47,878","1,467.03",3.26,"220,239,425",21.739
1978,"50,331","1,544.70",3.26,"222,584,545",22.612
1979,"51,093","1,529.13",3.34,"225,055,487",22.702
1980,"51,091","1,527.30",3.35,"227,224,681",22.485
1981,"49,301","1,552.80",3.18,"229,465,714",21.485
1982,"43,945","1,595.01",2.76,"231,664,458",18.969
1983,"42,589","1,652.79",2.58,"233,791,994",18.217
1984,"44,257","1,720.27",2.57,"235,824,902",18.767
1985,"43,825","1,774.18",2.47,"237,923,795",18.42
1986,"46,087","1,834.87",2.51,"240,132,887",19.192
1987,"46,390","1,921.20",2.42,"242,288,918",19.147
1988,"47,087","2,025.96",2.32,"244,498,982",19.259
1989,"45,582","2,096.46",2.17,"246,819,230",18.468
1990,"44,599","2,144.36",2.08,"249,464,396",17.878
1991,"41,508","2,172.05",1.91,"252,153,092",16.461
1992,"39,250","2,247.15",1.75,"255,029,699",15.39
1993,"40,150","2,296.38",1.75,"257,782,608",15.575
1994,"40,716","2,358",1.73,"260,327,021",15.6403
1995,"41,817","2,423",1.73,"262,803,276",15.9119
1996,"42,065","2,486",1.69,"265,228,572",15.8599
1997,"42,013","2,562",1.64,"267,783,607",15.6892
1998,"41,501","2,632",1.58,"270,248,003",15.3566
1999,"41,717","2,691",1.55,"272,690,813",15.2983
2000,"41,945","2,747",1.53,"282,216,952",14.8627
2001,"42,196","2,797",1.51,"285,226,284",14.794
2002,"43,005","2,856",1.51,"288,125,973",14.926
2003,"42,884","2,890",1.48,"290,796,023",14.747
2004,"42,836","2,965",1.44,"293,638,158",14.588
2005,"43,510","2,989",1.46,"296,507,061",14.674
2006,"42,708","3,014",1.42,"299,398,484",14.265
2007,"41,259","3,031",1.36,"301,139,947",13.701
2008,"37,423","2,977",1.26,"303,824,640",12.317
2009,"33,883","2,957",1.15,"306,700,000",11.048
2010,"32,999","2,967",1.11,"309,326,000",10.668
2011,"32,479","2,950",1.1,"311,588,000",10.42
2012,"33,782","2,969",1.14,"313,914,000",10.75
2013,"32,893","2,988",1.1,"316,129,000",10.4
2014,"32,744","3,026",1.08,"318,860,000",10.28
2015,"35,485","3,095",1.15,"321,370,000",11.06
2016,"37,461",,1.18,"323,121,000",11.59
